original	gatherings	width	height	obl	n
54 x 43 cm.	NA	NA	NA	NA	2
55 x 44 cm.	NA	NA	NA	NA	2
55 x 45 cm.	NA	NA	NA	NA	2
57 x 47 cm.	NA	NA	NA	NA	2
57 x 49 cm.	NA	NA	NA	NA	2
6 x 12 cm.	NA	NA	NA	NA	2
6 x 15 cm.	NA	NA	NA	NA	2
62 x 50 cm.	NA	NA	NA	NA	2
64 x 41 cm.	NA	NA	NA	NA	2
64 x 44 cm.	NA	NA	NA	NA	2
7 x 19 cm.	NA	NA	NA	NA	2
8 x 10 cm.	NA	NA	NA	NA	2
8$.	NA	NA	NA	0	2
8⁰ and 4⁰.	NA	NA	NA	0	2
8⁰ and obl. 1/4⁰.	NA	NA	NA	1	2
8⁰; 4⁰.	NA	NA	NA	0	2
80.	NA	NA	NA	0	2
8⁰&amp;4⁰.	NA	NA	NA	0	2
8�	NA	NA	NA	0	2
8�.	NA	NA	NA	0	2
b1⁰.	NA	NA	NA	0	2
ill. (relief cuts)	NA	NA	NA	0	2
obl./2⁰.	NA	NA	NA	1	2
obl.2⁰ and 4⁰.	NA	NA	NA	1	2
s.sh.16⁰.	NA	NA	NA	0	2
s.sh.8⁰.	NA	NA	NA	0	2
;8⁰.	NA	NA	NA	0	1
? cm.	NA	NA	NA	0	1
(1/12&quot;)	NA	NA	NA	0	1
(12mo &amp; 8vo)	NA	NA	NA	0	1
(15 x 17 cm.)	NA	NA	NA	NA	1
(8v0)	NA	NA	NA	0	1
(fol.0.	NA	NA	NA	0	1
[1771].	NA	NA	NA	0	1
[1774].	NA	NA	NA	0	1
1 ]d0	NA	NA	NA	0	1
1 D0.	NA	NA	NA	0	1
1.2⁰.	NA	NA	NA	0	1
1/2 D0.	NA	NA	NA	0	1
1/2 dDG.	NA	NA	NA	0	1
1/2$.	NA	NA	NA	0	1
1/2⁰ (31 x 18 cm)	NA	NA	NA	NA	1
1/2⁰ (31 x 20 cm)	NA	NA	NA	NA	1
1/2⁰ (31 x 21 cm)	NA	NA	NA	NA	1
1/2⁰ (34 x 15 cm)	NA	NA	NA	NA	1
1/2⁰ (34 x 21 cm)	NA	NA	NA	NA	1
1/2⁰ (35 x 23 cm)	NA	NA	NA	NA	1
1/2⁰ (35 x 27 cm)	NA	NA	NA	NA	1
1/2⁰ (37 x 11 cm)	NA	NA	NA	NA	1
1/2⁰ (40 x 25 cm)	NA	NA	NA	NA	1
1/2⁰ (42 x 21 cm)	NA	NA	NA	NA	1
1/2⁰ (45 x 18 cm)	NA	NA	NA	NA	1
1/2⁰ (47 x 21 cm)	NA	NA	NA	NA	1
1/2⁰ and 1/4⁰.	NA	NA	NA	0	1
1/2⁰; 35.5 x 22.5 cm.	NA	NA	NA	NA	1
1/2⁰? (34.5 x 16 cm.)	NA	NA	NA	NA	1
1/2⁰.̃	NA	NA	NA	0	1
1/2⁰./	NA	NA	NA	0	1
