original	gatherings.original	width.original	height.original	obl.original	gatherings	width	height	obl	area	n	n_cum	f	f_cum
33 cm (1/2⁰)	2fo	NA	33	FALSE	2fo	22	33	0	726	10	477544	0	99.2
34 x 19 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	10	477554	0	99.2
41 cm (2⁰)	2fo	NA	41	FALSE	2fo	27	41	0	1107	10	477564	0	99.2
42 x 27 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	10	477574	0	99.2
45 x 28 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	10	477584	0	99.2
47 cm (2⁰)	2fo	NA	47	FALSE	2fo	30	47	0	1410	10	477594	0	99.2
51 x 40 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	10	477604	0	99.2
s.sh.obl.fol.	2fo	NA	NA	TRUE	2fo	45	30	1	1350	10	477614	0	99.2
1/4°.	4to	NA	NA	FALSE	4to	22	28	0	616	9	477623	0	99.2
14 cm. 12⁰	12mo	NA	14	FALSE	12mo	10	14	0	140	9	477632	0	99.2
17 cm (8⁰)	8vo	NA	17	FALSE	8vo	12	17	0	204	9	477641	0	99.2
18 cm (12⁰)	12mo	NA	18	FALSE	12mo	12	18	0	216	9	477650	0	99.2
2°.	2fo	NA	NA	FALSE	2fo	30	45	0	1350	9	477659	0	99.2
2⁰ (29 cm.).	2fo	NA	29	FALSE	2fo	19	29	0	551	9	477668	0	99.2
20 cm. 4⁰	4to	NA	20	FALSE	4to	17	20	0	340	9	477677	0	99.2
21 x 13 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	9	477686	0	99.2
26 cm (4⁰)	4to	NA	26	FALSE	4to	20	26	0	520	9	477695	0	99.2
26 x 22 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	9	477704	0	99.2
29 x 23 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	9	477713	0	99.2
30 cm. (2⁰)	2fo	NA	30	FALSE	2fo	20	30	0	600	9	477722	0	99.2
32 cm. (2⁰)	2fo	NA	32	FALSE	2fo	21	32	0	672	9	477731	0	99.2
36 x 24 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	9	477740	0	99.2
43 x 33 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	9	477749	0	99.2
54 x 42 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	9	477758	0	99.2
6⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	9	477767	0	99.2
8⁸.	8vo	NA	NA	FALSE	8vo	13	19	0	247	9	477776	0	99.2
9 cm.	NA	NA	9	FALSE	NA	6	9	NA	54	9	477785	0	99.3
1/2⁰?.	2fo	NA	NA	FALSE	2fo	30	45	0	1350	8	477793	0	99.3
1°	1to	NA	NA	FALSE	2fo	30	45	0	1350	8	477801	0	99.3
1⁰&amp;1/2⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	8	477809	0	99.3
16 cm (12⁰)	12mo	NA	16	FALSE	12mo	11.5	16	0	184	8	477817	0	99.3
19 x 12 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	8	477825	0	99.3
22 x 14 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	8	477833	0	99.3
23 cm. (8⁰)	8vo	NA	23	FALSE	8vo	15	23	0	345	8	477841	0	99.3
23 x 14 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	8	477849	0	99.3
30 x 21 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	8	477857	0	99.3
30 x 22 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	8	477865	0	99.3
31 cm. (2⁰)	2fo	NA	31	FALSE	2fo	20	31	0	620	8	477873	0	99.3
4⁰ and 2⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	8	477881	0	99.3
40 x 24 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	8	477889	0	99.3
43 x 28 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	8	477897	0	99.3
53 cm.	NA	NA	53	FALSE	NA	33	53	NA	1749	8	477905	0	99.3
56 x 45 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	8	477913	0	99.3
8⁰ and 12⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	8	477921	0	99.3
8⁰.; 8⁰.	8vo	NA	NA	FALSE	8vo	13	19	0	247	8	477929	0	99.3
fol	2fo	NA	NA	FALSE	2fo	30	45	0	1350	8	477937	0	99.3
obl. 16⁰ in 8's.	16mo	NA	NA	TRUE	16mo	15	12	1	180	8	477945	0	99.3
1/2⁰ (33 cm.).	2fo	NA	33	FALSE	2fo	22	33	0	726	7	477952	0	99.3
15 cm (12⁰)	12mo	NA	15	FALSE	12mo	11	15	0	165	7	477959	0	99.3
17 cm (12⁰)	12mo	NA	17	FALSE	12mo	12	17	0	204	7	477966	0	99.3
19 x 13 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	7	477973	0	99.3
21 x 16 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	7	477980	0	99.3
23 cm. (4⁰)	4to	NA	23	FALSE	4to	18	23	0	414	7	477987	0	99.3
24 cm (8⁰)	8vo	NA	24	FALSE	8vo	15	24	0	360	7	477994	0	99.3
25 x 21 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	7	478001	0	99.3
26 x 21 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	7	478008	0	99.3
27 x 20 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	7	478015	0	99.3
29 x 17 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	7	478022	0	99.3
29 x 19 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	7	478029	0	99.3
29 x 24 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	7	478036	0	99.3
30 x 18 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	7	478043	0	99.3
31 x 25 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	7	478050	0	99.3
34 cm (2⁰)	2fo	NA	34	FALSE	2fo	22	34	0	748	7	478057	0	99.3
35 cm. (2⁰)	2fo	NA	35	FALSE	2fo	23	35	0	805	7	478064	0	99.3
37 x 31 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	7	478071	0	99.3
38 x 30 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	7	478078	0	99.3
4⁰ (22 cm.).	4to	NA	22	FALSE	4to	18	22	0	396	7	478085	0	99.3
41 x 26 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	7	478092	0	99.3
42 x 24 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	7	478099	0	99.3
43 x 31 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	7	478106	0	99.3
45 x 27 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	7	478113	0	99.3
49 x 39 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	7	478120	0	99.3
50 x 40 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	7	478127	0	99.3
51 x 41 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	7	478134	0	99.3
54 x 44 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	7	478141	0	99.3
(1/2&quot;)	NA	NA	NA	FALSE	NA	NA	NA	0	NA	6	478147	0	99.3
1/2⁰; 2⁰.	2fo	NA	NA	FALSE	2fo	30	45	0	1350	6	478153	0	99.3
1⁰ &amp; 1/2⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	6	478159	0	99.3
11 x 18 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	6	478165	0	99.3
12⁰ and 8⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	6	478171	0	99.3
13 cm (12⁰)	12mo	NA	13	FALSE	12mo	13	20	0	260	6	478177	0	99.3
13 cm. 12⁰	12mo	NA	13	FALSE	12mo	13	20	0	260	6	478183	0	99.3
13 x 23 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	6	478189	0	99.3
14 cm (12⁰)	12mo	NA	14	FALSE	12mo	10	14	0	140	6	478195	0	99.3
16 cm. (8vo and 12mo)	NA	NA	16	FALSE	NA	11	16	NA	176	6	478201	0	99.3
16mo	16mo	NA	NA	FALSE	16mo	12	15	0	180	6	478207	0	99.3
19 x 16 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	6	478213	0	99.3
21 x 18 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	6	478219	0	99.3
22 x 16 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	6	478225	0	99.3
22 x 17 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	6	478231	0	99.3
23 x 17 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	6	478237	0	99.3
25 x 18 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	6	478243	0	99.3
28 cm (2⁰)	2fo	NA	28	FALSE	2fo	18	28	0	504	6	478249	0	99.3
29 x 21 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	6	478255	0	99.3
29 x 22 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	6	478261	0	99.4
32 x 18 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	6	478267	0	99.4
36 x 20 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	6	478273	0	99.4
37 x 22 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	6	478279	0	99.4
38 x 23 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	6	478285	0	99.4
39 x 30 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	6	478291	0	99.4
4⁰ (20 cm.).	4to	NA	20	FALSE	4to	17	20	0	340	6	478297	0	99.4
40 x 27 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	6	478303	0	99.4
40 x 33 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	6	478309	0	99.4
41 x 27 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	6	478315	0	99.4
42 x 35 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	6	478321	0	99.4
43 x 32 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	6	478327	0	99.4
44 x 26 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	6	478333	0	99.4
44 x 36 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	6	478339	0	99.4
46-50 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	6	478345	0	99.4
51 x 39 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	6	478351	0	99.4
53 x 43 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	6	478357	0	99.4
56 x 46 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	6	478363	0	99.4
57 x 46 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	6	478369	0	99.4
long 1/4⁰.	4long	NA	NA	FALSE	4long	27	35	0	945	6	478375	0	99.4
long 4⁰.	4long	NA	NA	FALSE	4long	27	35	0	945	6	478381	0	99.4
obl 1⁰.	1to	NA	NA	TRUE	2fo	45	30	1	1350	6	478387	0	99.4
obl. 12⁰	12mo	NA	NA	TRUE	12mo	19	12.5	1	237.5	6	478393	0	99.4
obl. fol.	2fo	NA	NA	TRUE	2fo	45	30	1	1350	6	478399	0	99.4
obl.24⁰.	24mo	NA	NA	TRUE	24mo	12.5	8.5	1	106.25	6	478405	0	99.4
s.sh.obl.4⁰.	4to	NA	NA	TRUE	4to	28	22	1	616	6	478411	0	99.4
sm. 2⁰.	2small	NA	NA	FALSE	2small	25	38	0	950	6	478417	0	99.4
(2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	5	478422	0	99.4
1.	1to	NA	NA	FALSE	2fo	30	45	0	1350	5	478427	0	99.4
1/2 ⁰.	2fo	NA	NA	FALSE	2fo	30	45	0	1350	5	478432	0	99.4
1/2 sh.obl.fol.	2fo	NA	NA	TRUE	2fo	45	30	1	1350	5	478437	0	99.4
1/2°	2fo	NA	NA	FALSE	2fo	30	45	0	1350	5	478442	0	99.4
1/2⁰ (29 cm.).	2fo	NA	29	FALSE	2fo	19	29	0	551	5	478447	0	99.4
1⁰..	1to	NA	NA	FALSE	2fo	30	45	0	1350	5	478452	0	99.4
17 cm. (12⁰)	12mo	NA	17	FALSE	12mo	12	17	0	204	5	478457	0	99.4
17 x 11 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	5	478462	0	99.4
18cm.	NA	NA	18	FALSE	NA	12	18	NA	216	5	478467	0	99.4
19 x 14 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	5	478472	0	99.4
19 x 15 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	5	478477	0	99.4
20 x 15 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	5	478482	0	99.4
21 cm. (4to and 8vo)	NA	NA	21	FALSE	NA	14	21	NA	294	5	478487	0	99.4
21 x 11 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	5	478492	0	99.4
21 x 12 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	5	478497	0	99.4
21 x 15 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	5	478502	0	99.4
21 x 20 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	5	478507	0	99.4
21 x 33 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	5	478512	0	99.4
21cm (8⁰)	8vo	NA	NA	FALSE	8vo	13	19	0	247	5	478517	0	99.4
22 x 20 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	5	478522	0	99.4
23 cm (4⁰)	4to	NA	23	FALSE	4to	18	23	0	414	5	478527	0	99.4
23 x 15 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	5	478532	0	99.4
23 x 20 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	5	478537	0	99.4
24 x 16 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	5	478542	0	99.4
24mo [fewer than 50 pages]	24mo	NA	NA	FALSE	24mo	8.5	12.5	0	106.25	5	478547	0	99.4
26 x 18 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	5	478552	0	99.4
27 x 16 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	5	478557	0	99.4
28 cm. 2⁰	2fo	NA	28	FALSE	2fo	18	28	0	504	5	478562	0	99.4
28 x 19 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	5	478567	0	99.4
30 cm. (1/2⁰)	2fo	NA	30	FALSE	2fo	20	30	0	600	5	478572	0	99.4
31 x 17 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	5	478577	0	99.4
31 x 23 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	5	478582	0	99.4
31 x 24 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	5	478587	0	99.4
31 x 26 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	5	478592	0	99.4
33 x 23 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	5	478597	0	99.4
35 x 19 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	5	478602	0	99.4
36 cm (1/2⁰)	2fo	NA	36	FALSE	2fo	24	36	0	864	5	478607	0	99.4
36 x 25 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	5	478612	0	99.4
36⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	5	478617	0	99.4
37 x 26 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	5	478622	0	99.4
38 x 27 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	5	478627	0	99.4
38 x 29 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	5	478632	0	99.4
40 cm. (2⁰)	2fo	NA	40	FALSE	2fo	26	40	0	1040	5	478637	0	99.4
4⁰�	NA	NA	NA	FALSE	NA	NA	NA	0	NA	5	478642	0	99.4
41 x 32 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	5	478647	0	99.4
42-50 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	5	478652	0	99.4
43 x 36 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	5	478657	0	99.4
46 x 28 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	5	478662	0	99.4
46 x 29 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	5	478667	0	99.4
46 x 36 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	5	478672	0	99.4
49 x 37 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	5	478677	0	99.4
50 cm. (2⁰)	2fo	NA	50	FALSE	2fo	32	50	0	1600	5	478682	0	99.4
50 x 39 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	5	478687	0	99.4
56 x 44 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	5	478692	0	99.4
58 x 46 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	5	478697	0	99.4
8	8vo	NA	NA	FALSE	8vo	13	19	0	247	5	478702	0	99.4
8₀.	8vo	NA	NA	FALSE	8vo	13	19	0	247	5	478707	0	99.4
8o.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	5	478712	0	99.4
long 24⁰	24long	NA	NA	FALSE	24long	9.5	14	0	133	5	478717	0	99.4
obl 1/2⁰.	2fo	NA	NA	TRUE	2fo	45	30	1	1350	5	478722	0	99.4
obl. 1/16⁰.	16mo	NA	NA	TRUE	16mo	15	12	1	180	5	478727	0	99.4
s.sh.obl.8⁰.	8vo	NA	NA	TRUE	8vo	19	13	1	247	5	478732	0	99.4
?	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478736	0	99.4
1/4.̊	4to	NA	NA	FALSE	4to	22	28	0	616	4	478740	0	99.5
1/64⁰.	64mo	NA	NA	FALSE	64mo	5	7	0	35	4	478744	0	99.5
1°.	1to	NA	NA	FALSE	2fo	30	45	0	1350	4	478748	0	99.5
11 x 16 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478752	0	99.5
12 x 18 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478756	0	99.5
12⁰ &amp; 8⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478760	0	99.5
128⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478764	0	99.5
12mo	12mo	NA	NA	FALSE	12mo	12.5	19	0	237.5	4	478768	0	99.5
13 cm (8⁰)	8vo	NA	13	FALSE	8vo	9	13	0	117	4	478772	0	99.5
13 x 20 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478776	0	99.5
14 x 12 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478780	0	99.5
15 x 18 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478784	0	99.5
16 x 20 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478788	0	99.5
17 cm. (8vo and 12mo)	NA	NA	17	FALSE	NA	12	17	NA	204	4	478792	0	99.5
17 x 20 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478796	0	99.5
17 x 22 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478800	0	99.5
18 x 15 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478804	0	99.5
2⁰ (30 cm.)	2fo	NA	30	FALSE	2fo	20	30	0	600	4	478808	0	99.5
2⁰ (30 cm.).	2fo	NA	30	FALSE	2fo	20	30	0	600	4	478812	0	99.5
2⁰ and 4⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478816	0	99.5
20 x 14 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478820	0	99.5
20 x 21 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478824	0	99.5
2⁰(3?).	2fo	NA	NA	FALSE	2fo	30	45	0	1350	4	478828	0	99.5
21 x 14 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478832	0	99.5
22 x 34 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478836	0	99.5
22cm (8⁰)	8vo	NA	NA	FALSE	8vo	13	19	0	247	4	478840	0	99.5
23 x 12 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478844	0	99.5
25 x 17 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478848	0	99.5
26 x 15 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478852	0	99.5
27 cm (2⁰)	2fo	NA	27	FALSE	2fo	17	27	0	459	4	478856	0	99.5
27 x 24 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478860	0	99.5
28 cm. (2⁰)	2fo	NA	28	FALSE	2fo	18	28	0	504	4	478864	0	99.5
28 x 20 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478868	0	99.5
30 x 25 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478872	0	99.5
31 x 11 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478876	0	99.5
31 x 13 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478880	0	99.5
32 x 17 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478884	0	99.5
32 x 23 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478888	0	99.5
33 cm. (1/2⁰)	2fo	NA	33	FALSE	2fo	22	33	0	726	4	478892	0	99.5
33 x 15 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478896	0	99.5
33 x 18 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478900	0	99.5
33 x 26 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478904	0	99.5
37 x 32 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478908	0	99.5
38 x 22 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478912	0	99.5
39 x 27 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478916	0	99.5
39 x 33 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478920	0	99.5
4 ⁰.	4to	NA	NA	FALSE	4to	22	28	0	616	4	478924	0	99.5
4⁰ (21 cm.).	4to	NA	21	FALSE	4to	17	21	0	357	4	478928	0	99.5
4⁰ ⁶.⁴.	4to	NA	NA	FALSE	4to	22	28	0	616	4	478932	0	99.5
4⁰ ⁸.⁴.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478936	0	99.5
40 x 34 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478940	0	99.5
4⁰?	4to	NA	NA	FALSE	4to	22	28	0	616	4	478944	0	99.5
4⁰.; 4⁰.	4to	NA	NA	FALSE	4to	22	28	0	616	4	478948	0	99.5
4⁰..	4to	NA	NA	FALSE	4to	22	28	0	616	4	478952	0	99.5
41 x 35 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478956	0	99.5
42 x 31 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478960	0	99.5
42 x 32 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478964	0	99.5
42-46 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478968	0	99.5
43 x 25 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478972	0	99.5
43 x 30 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478976	0	99.5
46 x 30 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478980	0	99.5
46 x 35 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478984	0	99.5
47 x 30 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478988	0	99.5
47 x 36 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478992	0	99.5
47 x 37 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	478996	0	99.5
50cm (2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	4	479000	0	99.5
51 cm (2⁰)	2fo	NA	51	FALSE	2fo	32	51	0	1632	4	479004	0	99.5
52 x 41 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	479008	0	99.5
52 x 42 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	4	479012	0	99.5
68 cm.	NA	NA	68	FALSE	NA	41	68	NA	2788	4	479016	0	99.5
8.̊	8vo	NA	NA	FALSE	8vo	13	19	0	247	4	479020	0	99.5
8⁰ (17 cm.).	8vo	NA	17	FALSE	8vo	12	17	0	204	4	479024	0	99.5
8⁰ (22 cm.)	8vo	NA	22	FALSE	8vo	15	22	0	330	4	479028	0	99.5
8⁰?	8vo	NA	NA	FALSE	8vo	13	19	0	247	4	479032	0	99.5
caption title; octavo [fewer than 50 pages]	8vo	NA	NA	FALSE	8vo	13	19	0	247	4	479036	0	99.5
caption title; quarto	4to	NA	NA	FALSE	4to	22	28	0	616	4	479040	0	99.5
long 1/2⁰.	2long	NA	NA	FALSE	2long	30	53	0	1590	4	479044	0	99.5
long 1/24⁰.	24long	NA	NA	FALSE	24long	9.5	14	0	133	4	479048	0	99.5
obl 4⁰.	4to	NA	NA	TRUE	4to	28	22	1	616	4	479052	0	99.5
obl. 1/2⁰	2fo	NA	NA	TRUE	2fo	45	30	1	1350	4	479056	0	99.5
obl4⁰.	4to	NA	NA	TRUE	4to	28	22	1	616	4	479060	0	99.5
oblong 2⁰.	2fo	NA	NA	TRUE	2fo	45	30	1	1350	4	479064	0	99.5
(1/2⁰)	2fo	NA	NA	FALSE	2fo	30	45	0	1350	3	479067	0	99.5
(12mo)	12mo	NA	NA	FALSE	12mo	12.5	19	0	237.5	3	479070	0	99.5
1 /8⁰.	8vo	NA	NA	FALSE	8vo	13	19	0	247	3	479073	0	99.5
1/2	2fo	NA	NA	FALSE	2fo	30	45	0	1350	3	479076	0	99.5
1/2⁰ .	2fo	NA	NA	FALSE	2fo	30	45	0	1350	3	479079	0	99.5
1/2⁰ (30 cm.).	2fo	NA	30	FALSE	2fo	20	30	0	600	3	479082	0	99.5
1/2⁰ (31 cm.).	2fo	NA	31	FALSE	2fo	20	31	0	620	3	479085	0	99.5
1/2⁰ (34 cm.)	2fo	NA	34	FALSE	2fo	22	34	0	748	3	479088	0	99.5
1/2⁰..	2fo	NA	NA	FALSE	2fo	30	45	0	1350	3	479091	0	99.5
1/3⁰.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	3	479094	0	99.5
10 x 15 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	3	479097	0	99.5
10 x 16 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	3	479100	0	99.5
10 x 20 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	3	479103	0	99.5
11 cm (24⁰ in 12s)	24mo	NA	11	FALSE	24mo	8	11	0	88	3	479106	0	99.5
12 x 22 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	3	479109	0	99.5
12 x 8 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	3	479112	0	99.5
12.̥	NA	NA	NA	FALSE	NA	NA	NA	0	NA	3	479115	0	99.5
12$.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	3	479118	0	99.5
12⁰ in 6's.	12mo	NA	NA	FALSE	12mo	12.5	19	0	237.5	3	479121	0	99.5
12⁰?	12mo	NA	NA	FALSE	12mo	12.5	19	0	237.5	3	479124	0	99.5
